仕入品コード,仕入品名DB,仕入品名スマイル
S701155D04500,"ｸﾗﾘﾃｨ LB550","ｸﾗﾘﾃｨ LB550(他ｸﾞﾚｰﾄﾞ含め100kg未満)"
S701155D04600,"ｸﾗﾘﾃｨ LM730H","ｸﾗﾘﾃｨ LM730H(他ｸﾞﾚｰﾄﾞ含め100kg未満)"
S701155D04610,"ｸﾗﾘﾃｨ LA3320","ｸﾗﾘﾃｨ LA3320(他ｸﾞﾚｰﾄﾞ含め100kg未満)"
S701155D04900,"ｸﾗﾚ ｱｰﾈｽﾄﾝ JS20N ﾅﾁｭﾗﾙ","ｸﾗﾚ ｱｰﾈｽﾄﾝ JS20N（ﾅﾁｭﾗﾙ）25kg以上"
S701155D05000,"ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ G1000","ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ G1000 200kg未満"
S701155D05100,"ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000-CW001","ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000 CW001 200kg未満"
S701155D05110,"ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000-CW001 TZA-5%","ｸﾗﾚ SA1000-CW001 TZA-5%"
S701155D05201,"ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000-FW001","ﾊﾟﾗﾍﾟｯﾄSA1000FW001 200kg以上他ﾄ合可"
S701155D05300,"ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000-FR201","ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000 FR201 200kg未満"
S701155D05400,"ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000-NW001","ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000 NW001 200kg未満"
S701155D05500,"ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000-NW201","ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000 NW201 200kg未満"
S701155D05600,"ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000-FP(粉)","ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000 FP(粉) 200kg未満"
S701155D05700,"ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000-NP(粉)","ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ SA1000 NP(粉) 200kg未満"
S701155D05711,"ｸﾗﾚ ﾊﾟﾗﾍﾟｯﾄ GF-1000","ﾊﾟﾗﾍﾟｯﾄ GF-1000　25kg～200kg未満"
S701155D05801,"ｾﾞｵﾉｱ 1020R",ゼオノア　1020R
S701155D05901,"TOPAS 8007F-04",TOPAS　8007F-04
S701155D06100,"ｼｮｳﾜｶｾｲ GUF40M-A03","ｼｮｳﾜｶｾｲ GUF40M-A03 25kgﾛｯﾄ"
