商品ｺｰﾄﾞ,商品名,商品名索引,単位
701041D001001,TKZP10 H13-40W10 50Mx15R,tkzp10 h13,
701041D002001,ｹｰﾌﾞﾙﾍﾞﾔ TKZP10H13-40W10(50M),ｹ,M
701041D002002,ｹｰﾌﾞﾙﾍﾞﾔ TKZP10H13-40W15(50M),ｹ,M
701041D002003,ｹｰﾌﾞﾙﾍﾞﾔ TKZP10H13-40W20(30M),ｹ,M
701041D003001,ｹｰﾌﾞﾙﾍﾞﾔ TKZP10H13-40W25(30M),ｹ,M
701041D003002,ﾄﾑｿﾝ刃 押出ｹｰﾌﾞﾙﾍﾞｱ W20 追加工用,ﾄﾑｿﾝﾊｵｼﾀﾞｼ,
701041D003003,ﾄﾑｿﾝ刃 押出ｹｰﾌﾞﾙﾍﾞｱ W25 追加工用,ﾄﾑｿﾝﾊ ｵｼﾀﾞ,
701041D004001,押出ﾍﾞｱ TKZP W20/金型,,式
701041D004002,押出ﾍﾞｱ TKZP W25/金型,ｵｼﾀﾞｼﾍﾞｱ T,式
701041D004003,押出ﾍﾞｱ(ｼﾞｯﾊﾟｰ3層押出成形品W20 20x13,ｵｼﾀｼﾍﾞｱ(ｼﾞ,ｍ
701041D004004,押出ﾍﾞｱ(ｼﾞｯﾊﾟｰ3層押出成形品W25 25x13,ｵｼﾀｼﾍﾞｱ(ｼﾞ,ｍ
701041D004005,押出ﾍﾞﾔ TKZP 10H13-40W10,,
701041D004006,押出ﾍﾞﾔ TKZP10H13-40W15(50m),,
701051D001001,ｻｵﾄﾞｳｺｳｼｰﾄ　L=185x3.0x7.5,ｻｵﾄﾞｳｺｳｼｰﾄ,本
701071D001001,吊りボルト用化粧カバー BC3-W,ﾂﾘﾎﾞﾙﾄﾖｳｹｼ,個
701071D001002,吊りボルト用化粧カバー BC3-K,ﾂﾘﾎﾞﾙﾄﾖｳｹｼ,個
701071K001001,KB-T-50M,kb-t 50m(5,巻
701081D001001,C47006310690 ｼｰｽﾙｰﾎｰﾑｹﾞｰﾄ,ｼｰｽﾙｰﾎｰﾑｹﾞ,箱
701091D001001,細うどん(杵屋),,
701091D002001,鎌倉ﾊﾟｽﾀ生めん,ｶﾏｸﾗﾊﾟｽﾀﾅﾏ,kg
701091D003001,黄ｽﾊﾟ2.2φ（野口商事様分）20kgﾖﾘ,ｷｽﾊﾟﾊﾟ2.2ﾌ,Kg
701091D003002,黄ｽﾊﾟ 2.2φ 丸形状,,kg
701101D001001,色合わせうどん D-5 □5.0x4.0 非ﾌﾀﾙ酸,ｲﾛｱﾜｾ,kg
701101D002001,和そば3 特注色 □1.8x1.8 非ﾌﾀﾙ酸,ｲﾛｱﾜｾ,kg
701135D001001,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 2mm ｸﾘｱ,,
701135D001002,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 3mm 色つき 50ﾛｯﾄ, 50ﾛｯﾄ,
701135D001003,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 3mm 透明,,
701135D001004,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 4mm 色つき 100ﾛｯﾄ,,
