商品ｺｰﾄﾞ,商品名,商品名索引,単位
720092I007019,13F12099上枠ﾚｰﾙｶﾊﾞｰ W L=3500 栗･東,ｳﾜﾜｸﾚｰﾙ,本
720092I007020,13F12099上枠ﾚｰﾙｶﾊﾞｰ W L=3500 相,ｳﾜﾜｸﾚｰﾙ,本
720092I008001,13F02099ﾚｰﾙｶﾊﾞｰ(小),ﾚｰﾙｶﾊﾞｰ,本
720092I009001,175100AA補助縦枠(白) L=3650　道内,ﾎｼﾞｮﾀﾃﾜｸ,本
720092I009002,175100AA補助縦枠(白) L=3650　道外,ﾎｼﾞｮﾀﾃﾜｸ,本
720092I009003,175100AA補助縦枠 L=3650　色物道内,ﾎｼﾞｮﾀﾃﾜｸ,本
720092I009004,175100AA補助縦枠 L=3650　色物　道外,ﾎｼﾞｮﾀﾃﾜｸ,本
720092I010001,1770　ｶﾞｲﾄﾞﾚｰﾙAT,ｶﾞｲﾄﾞﾚｰﾙ,ｍ
720092I010002,177020AA ｶﾞｲﾄﾞﾚｰﾙAT L=1760 W,31mm,本
720092I010003,177020MMｶﾞｲﾄﾞﾚｰﾙAT(ﾁｪﾘｰ),ｶﾞｲﾄﾞﾚｰﾙ,ｍ
720092I010004,177010　ｶﾞｲﾄﾞﾚｰﾙAT(色物),ｶﾞｲﾄﾞﾚｰﾙ,ｍ
720092I010005,17700 ｶﾞｲﾄﾞﾚｰﾙAT木粉入,ｶﾞｲﾄﾞﾚｰﾙ,本
720092I011001,178000AA水切りｶﾊﾞｰ(W) L=2500　道内,ﾐｽﾞｷﾘｶﾊﾞｰ,本
720092I011002,178000AA水切りｶﾊﾞｰ(W) L=2500　道外,ﾐｽﾞｷﾘｶﾊﾞｰ,本
720092I012001,179000AA枠ｶﾊﾞｰ(白) L=1600,ﾜｸｶﾊﾞｰ,本
720092I012002,179000枠ｶﾊﾞｰL=1600 色物,ﾜｸｶﾊﾞｰ,本
720092I012003,179000　枠ｶﾊﾞｰL=1600 新色,ﾜｸｶﾊﾞｰ,本
720092I012004,枠ｶﾊﾞｰL=1600　(木粉入り),ﾜｸｶﾊﾞｰ,本
720092I012005,179000BB 枠ｶﾊﾞｰ L=1600 ｽﾁｰﾙﾌﾞﾗｯｸ,ﾜｸｶﾊﾞｰ,本
720092I013001,ｱｸｾﾝﾄｻｯｼ丸窓額縁用枠ｶﾊﾞｰ 白,ｱｸｾﾝﾄﾏﾙﾏﾄﾞ,式
720092I014001,179100AA内部ｶﾊﾞ- L=3650　道内,ﾜｸｶﾊﾞｰ,本
720092I014002,179100AA内部ｶﾊﾞｰ L=3650　道外,ﾅｲﾌﾞｶﾊﾞｰ,本
720092I014003,179100AA内部ｶﾊﾞｰ L=3650 色物　道内,ﾅｲﾌﾞｶﾊﾞｰ,本
720092I014004,179100AA内部ｶﾊﾞｰ L=3650 色物　道外,ｶﾊﾞｰ,本
720092I014005,179100BB 内部ｶﾊﾞｰ L=3650 ｽﾁｰﾙﾌﾞﾗｯｸ I,ﾅｲﾌﾞｶﾊﾞｰ,本
720092I014006,179100BB 内部ｶﾊﾞｰ L=3650 ｽﾁｰﾙﾌﾞﾗｯｸ O,ｶﾊﾞｰ,本
720092I015001,20043000戸当り気密材 枠用 ひれ式 I,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ
720092I015002,20043000戸当り気密材 枠用 ひれ式 O,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ
720092I015003,20043000戸当り気密材 ひれ状(ｼﾘｺﾝ) I,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ
720092I015004,20043000戸当り気密材 ひれ状(ｼﾘｺﾝ) O,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ
720092I015005,20043000戸当り気密材 ひれ状(袋付) I,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ
720092I015006,20043000戸当り気密材枠用 ﾋﾚ式 袋付 O,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ
720092I015007,MK20043000戸当り気密材 枠用 ひれ式,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ
720092I016001,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E　I,3-E,ｍ
720092I016002,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E　O,3-E,ｍ
720092I016003,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E(袋付) I,ｶﾞﾗｽﾋﾞｰﾄﾞ3,ｍ
720092I016004,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E(袋付) O,ｶﾞﾗｽﾋﾞｰﾄﾞ3,ｍ
720092I017001,20044100ｶﾞﾗｽﾋﾞｰﾄﾞ4.5ﾐﾘC　I,4.5,ｍ
720092I017002,20044100ｶﾞﾗｽﾋﾞｰﾄﾞ4.5ﾐﾘC　O,4.5,ｍ
720092I018001,20044200開き用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(3)-A I,ｶﾞﾗｽｵｻｴﾋﾞｰ,ｍ
720092I018002,20044200開き用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(3)-A O,ｶﾞﾗｽｵｻｴﾋﾞｰ,ｍ
720092I019001,20044300開きﾄﾘﾌﾟﾙ用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ I X,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ
720092I019002,20044300開きﾄﾘﾌﾟﾙ用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ O X,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ
720092I019003,20044300開きﾄﾘﾌﾟﾙ用ﾋﾞｰﾄﾞ (200m) I,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ
720092I019004,20044300開きﾄﾘﾌﾟﾙ用ﾋﾞｰﾄﾞ (200m) O,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ
720092I020001,20044500ｾﾝﾀｰｼｰﾙA L=2700 (軟質)ｱﾆｰﾙ済,ｾﾝﾀｰｼｰﾙA,本
720092I020002,20044500ｾﾝﾀｰｼｰﾙA L=2700 運賃込,ｾﾝﾀｰｼｰﾙA,本
720092I020011,200445HH ｾﾝﾀｰｼｰﾙA (ﾌﾞﾗｳﾝ) L=2700,ｾﾝﾀｰｼｰﾙA,本
720092I021001,20053100下框排水ﾊﾟｲﾌﾟ L=61 本社100個,ｼﾀｶﾏﾁﾊｲｽｲ,本
720092I022001,20054000硝子受台8*25*40 A-40(ﾃｻ) I,A-40,個
720092I022002,20054000硝子受台8*25*40 A-40(ﾃｻ) O,A-40,個
720092I022003,20054000硝子受台8*25*40 A-40(日東) I,A-40,個
720092I022004,20054000硝子受台8*25*40 A-40(日東) O,A-40,個
720092I023001,20054100硝子受台8*25*65 A-65(ﾃｻ) I,A-65,個
720092I023002,20054100硝子受台8*25*65 A-65(ﾃｻ) O,A-65,個
720092I024001,20054200硝子受台8*25*120 A-120(ﾃｻ) I,A-120,個
720092I024002,20054200硝子受台8*25*120 A-120(ﾃｻ) O,A-120,個
720092I025001,20054300硝子受台8*29*40 B-40(ﾃｻ) I,B-40,個
720092I025002,20054300硝子受台8*29*40 B-40(ﾃｻ) O,B-40,個
720092I025003,20054300硝子受台8*29*40 B-40(日東) I,B-40,個
720092I025004,20054300硝子受台8*29*40 B-40(日東) O,B-40,個
720092I026001,20054400硝子受台8*29*65 B-65(ﾃｻ) I,B-65,個
720092I026002,20054400硝子受台8*29*65 B-65(ﾃｻ) O,B-65,個
720092I026003,20054400硝子受台8*29*65 B-65(日東) I,B-65,個
720092I026004,20054400硝子受台8*29*65 B-65(日東) O,B-65,個
720092I027001,20054500硝子受台8*29*120 B-120(ﾃｻ) I,B-120,個
720092I027002,20054500硝子受台8*29*120 B-120(ﾃｻ) O,B-120,個
720092I028001,20054600硝子受台8*33*40 C-40(ﾃｻ) I,C-40,個
720092I028002,20054600硝子受台8*33*40 C-40(ﾃｻ) O,C-40,個
720092I028003,20054600硝子受台8*33*40 C-40(日東) I,C-40,個
720092I028004,20054600硝子受台8*33*40 C-40(日東) O,C-40,個
720092I029001,20054800硝子受台8*33*65 C-65(ﾃｻ) I,C-65,個
720092I029002,20054800硝子受台8*33*65 C-65(ﾃｻ) O,C-65,個
720092I029003,20054800硝子受台8*33*65 C-65(日東) I,C-65,個
720092I030001,20054700硝子受台8*33*120 C-120(ﾃｻ) I,C-120,個
720092I030002,20054700硝子受台8*33*120 C-120(ﾃｻ) O,C-120,個
720092I030003,20054700硝子受台8*33*120 C-120日東 I,C-120,個
720092I031001,20054900引違硝子受台D-40(ﾃｻ)EH591-W1,D-40,個
720092I031002,20054900引違硝子受台D-40(日東)EH591,D-40,個
720092I031003,20054900引違硝子受台D-40(ﾃｻ) 東北,D-40,個
720092I032001,20100000ﾄﾘﾌﾟﾙ硝子受台厚27 8*27*40　N,8*27*40,個
720092I032002,20100100ﾄﾘﾌﾟﾙ硝子受台厚27 8*27*65 N,8*27*65,個
720092I032003,20100200ﾄﾘﾌﾟﾙ硝子受台厚27 8*27*120 N,8*27*120,個
720092I033001,20100300ﾄﾘﾌﾟﾙ39用硝子受台 5*41*40 N,8*27*120,個
720092I033002,20100400ﾄﾘﾌﾟﾙ39用硝子受台 5*41*65 N,8*27*120,個
720092I033003,20100500ﾄﾘﾌﾟﾙ39用硝子受台 5*41*120 N,8*27*120,個
720092I034001,207 結露受け(白)L=1000,ｹﾂﾛｳｸｹ,本
720092I035001,20A17000防火ｶﾞﾗｽ受台下用5*27*20(ﾃｻ),5*27*20,個
720092I035002,20A17000防火ｶﾞﾗｽ受台下用5*27*20(日東,5*27*20,個
720092I035003,20A17100防火ｶﾞﾗｽ受台下用5*27*25(ﾃｻ),5*27*25,個
720092I035004,20A17100防火ｶﾞﾗｽ受台下用5*27*25(日東,5*27*25,個
720092I035005,20A17200防火ｶﾞﾗｽ受台下用5*27*95(ﾃｻ),5*27*95,個
720092I035006,20A17200防火ｶﾞﾗｽ受台下用5*27*95(日東,5*27*95,個
720092I036001,20A17300防火ｶﾞﾗｽ受台縦用7*27*25(ﾃｻ),7*27*25,個
720092I036002,20A17300防火ｶﾞﾗｽ受台縦用7*27*25(日東,7*27*25,個
720092I037001,20A17500上縦硝子受台8*27*20 C2 ﾃｻ,8*27*20,個
720092I037002,20A17500上縦硝子受台8*27*20 C2 日東,8*27*20,個
720092I037003,20A17400上縦硝子受台8*27*40 C2 ﾃｻ,8*27*40,個
720092I037004,20A17400上縦硝子受台8*27*40 C2 日東,8*27*40,個
720092I038001,20A17600防火ｶﾞﾗｽ受台縦用7*25*40(ﾃｻ,7*25*40,個
720092I038002,20A17600防火ｶﾞﾗｽ受台縦用7*25*40日東,7*25*40,個
720092I039001,20A17700防火用ｶﾞﾗｽ受台5*33*20日東 I,5*33*20,個
720092I039002,20A17700防火用ｶﾞﾗｽ受台5*33*20日東 O,5*33*20,個
720092I039003,20A17800防火用ｶﾞﾗｽ受台5*33*40日東 I,5*33*40,個
720092I039004,20A17800防火用ｶﾞﾗｽ受台5*33*40日東 O,5*33*40,個
720092I039005,20A17900防火用ｶﾞﾗｽ受台5*33*65日東 I,5*33*65,個
720092I039006,20A17900防火用ｶﾞﾗｽ受台5*33*65日東 O,5*33*65,個
720092I040001,20F00400旧戸当り気密材(中空) I,ｷｭｳﾄｱﾀﾘ,ｍ
720092I040002,20F00400旧戸当り気密材(中空)　O,ｷｭｳﾄｱﾀﾘ,ｍ
720092I040003,20F00400旧戸当り気密材(中空)ｼﾘｺﾝ I,ｷｭｳﾄｱﾀﾘ,ｍ
720092I040004,20F00400旧戸当り気密材(中空)ｼﾘｺﾝ O,ｷｭｳﾄｱﾀﾘ,ｍ
720092I041001,20H17000防火ｶﾞﾗｽ受台下用5*27*20(ﾃｻ)H,5*27*20,個
720092I041002,20H17100防火ｶﾞﾗｽ受台下用5*27*25(ﾃｻ)H,5*27*25,個
720092I041003,20H17200防火ｶﾞﾗｽ受台下用5*27*95(ﾃｻ)H,5*27*95,個
720092I042001,32005000ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(NA)3ﾐﾘ 軟質 I,NA3ﾐﾘ,ｍ
720092I042002,32005000ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(NA)3ﾐﾘ 軟質 O,NA3ﾐﾘ,ｍ
720092I043001,32005100引違い用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(3)-A I,ｶﾞﾗｽｵｻｴﾋﾞｰ,ｍ
720092I043002,32005100引違い用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(3)-A O,ｶﾞﾗｽｵｻｴﾋﾞｰ,ｍ
720092I044001,32005200引違いﾄﾘﾌﾟﾙ用ｶﾞﾗｽ押えﾋﾞｰﾄﾞIX,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ
720092I044002,32005200引違いﾄﾘﾌﾟﾙ用ｶﾞﾗｽ押えﾋﾞｰﾄﾞOX,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ
720092I044003,32005200引違いﾄﾘﾌﾟﾙ用ﾋﾞｰﾄﾞ (200m) I,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ
720092I044004,32005200引違いﾄﾘﾌﾟﾙ用ﾋﾞｰﾄﾞ (200m) O,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ
720092I045001,32007000NA硝子受台 5*20*40(ﾃｻ) I,5*20*40,個
720092I045002,32007000NA硝子受台 5*20*40(ﾃｻ) O,5*20*40,個
720092I045003,32007000NA硝子受台5*20*40(日東) I,5*20*40,個
720092I045004,32007000NA硝子受台5*20*40(日東) O,5*20*40,個
720092I045005,ｶﾞﾗｽ受台5x20x30(ﾌｧｰｽ用)ﾃｻ I,5x20x30,個
720092I045006,ｶﾞﾗｽ受台5×20×30(ﾌｧｰｽ用)日東　I,5x20x30,個
720092I046001,32007100NA硝子受台 7*22*40(ﾃｻ) I,7*22*40,個
720092I046002,32007100NA硝子受台 7*22*40(ﾃｻ) O,7*22*40,個
720092I046003,32007100NA硝子受台 7*22*40(日東) I,7*22*40,個
720092I046004,32007100NA硝子受台 7*22*40(日東) O,7*22*40,個
720092I047001,32025000NA下框ﾊﾟｲﾌﾟ(窓),NAｼﾀｶﾏﾁ,本
720092I047002,32025100NA下框ﾊﾟｲﾌﾟ(ﾃﾗｽ),NAｼﾀｶﾏﾁ,本
720092I048001,32A05000引違硝子受台5*27*40(ﾃｻ)EH591,5*27*40,個
720092I048002,32A05000引違硝子受台5*27*40(日東)EH,5*27*40,個
720092I048003,32A05100引違硝子受台5*27*65(ﾃｻ)EH591,5*27*65,個
720092I048004,32A05100引違硝子受台5*27*65(日東)EH,5*27*65,個
720092I048005,32A05200引違硝子受台5*27*120(ﾃｻ)EH,5*27*120,個
720092I048006,32A05200引違硝子受台5*27*120(日東)EH,5*27*120,個
720092I049001,32A11400ｶﾞﾗｽ受台防火下框用7*23*20(ﾃｻ,7*23*20,個
720092I049002,32A11400ｶﾞﾗｽ受台防火下框用7*23*20(ﾃｻ,7*23*20,個
720092I049003,32A11100ｶﾞﾗｽ受台防火下框用7*23*40(ﾃｻ,7*23*40,個
720092I049004,32A11100ｶﾞﾗｽ受台防火下框用7*23*40(ﾃｻ,7*23*40,個
720092I049005,32A11200ｶﾞﾗｽ受台防火下框用7*23*60(ﾃｻ,7*23*60,個
720092I049006,32A11200ｶﾞﾗｽ受台防火下框用7*23*60(ﾃｻ,7*23*60,個
720092I049007,32A11300ｶﾞﾗｽ受台防火下框用7*23*120ﾃｻ,7*23*120,個
720092I049008,32A11300ｶﾞﾗｽ受台防火下框用7*23*120ﾃｻ,7*23*120,個
720092I050001,32D00000引違硝子受台7*27*40(ﾃｻ)EH591,7*27*40,個
720092I050002,32D00000引違硝子受台7*27*40(日東)EH,7*27*40,個
720092I051001,32D00100引違硝子受台8*27*40(ﾃｻ)EH591,8*27*40,個
720092I051002,32D00100引違硝子受台8*27*40(日東)EH,8*27*40,個
720092I051003,32D00200引違硝子受台8*27*65(ﾃｻ)EH591,8*27*65,個
720092I051004,32D00200引違硝子受台8*27*65(日東)EH,8*27*65,個
720092I051005,32D00300引違硝子受台8*27*120(ﾃｻ)EH,8*27*120,個
720092I051006,32D00300引違硝子受台8*27*120(日東)EH,8*27*120,個
720092I052001,32D00400引違ｶﾞﾗｽ受台(硬質)5*27*40 N,5*27*40,個
720092I053001,32D00500引違ｶﾞﾗｽ受台(硬質)7*27*40 N,7*27*40,個
720092I054001,32D00600引違ｶﾞﾗｽ受台(硬質)8*27*40 N,8*27*40,個
720092I054002,32D00700引違ｶﾞﾗｽ受台(硬質)8*27*65 N,8*27*65,個
720092I054003,32D00800引違ｶﾞﾗｽ受台(硬質)8*27*120 N,8*27*120,個
720092I055001,32H05000引違硝子受台5*27*40(ﾃｻ) HRD,5*27*40,個
720092I055002,32H05100引違硝子受台5*27*65(ﾃｻ) HRD,5*27*65,個
720092I055003,32H05200引違硝子受台5*27*120(ﾃｻ) HRD,5*27*120,個
720092I056001,33900000ｶﾞﾗｽ押えﾋﾞｰﾄﾞ4.5mm-C 小ﾛｯﾄ,ｶﾞﾗｽｵｻｴ,式
720092I057001,34008100US下框ﾊﾟｲﾌﾟ L=25 本社,USｼﾀｶﾏﾁ,本
720092I058001,34A08000ｶﾞﾗｽ受台防火縦枠用7*22*25(ﾃｻ,7*22*25,個
720092I058002,34A08000ｶﾞﾗｽ受台防火縦枠用7*22*25(ﾃｻ,7*22*25,個
720092I059001,40306000 方立補強材 L=1010,ﾎｳﾀﾃﾎｷｮｳ,本
720092I059002,40306100 方立補強材 L=1060,ﾎｳﾀﾃﾎｷｮｳ,本
720092I059003,40306200 方立補強材 L=1107,ﾎﾀﾃﾎｷｮｳ,本
720092I059004,40306300 方立補強材 L=1210,ﾎﾀﾃﾎｷｮｳ,本
720092I059005,40306400 方立補強材 L=1260,ﾎﾀﾃﾎｷｮｳ,本
720092I059006,40306500 方立補強材 L=1410,ﾎﾀﾃﾎｷｮｳ,本
720092I059007,方立補強材,ﾎｳﾀﾃﾎｷｮｳ,ｍ
720092I060001,MCﾀｲﾌﾟ戸当り気密材A　道内,MCﾄｱﾀﾘ,ｍ
720092I060002,MCﾀｲﾌﾟ戸当り気密材A　道外,MCﾄｱﾀﾘ,ｍ
720092I061001,MCﾀｲﾌﾟ枠気密材6mm　L=2250,MCﾜｸｷﾐﾂｻﾞｲ,本
720092I062001,K0013000 MK2特窓ﾍﾞｰｽｽﾍﾟｰｻｰC,ﾍﾞｰｽｽﾍﾟｰｻｰ,個
720092I063001,ｶﾞﾗｽ受け台 5x33x40(日東),ｶﾞﾗｽｳｹﾀﾞｲ,個
720092I063002,ｶﾞﾗｽ受け台 5x33x65(日東),ｶﾞﾗｽｳｹﾀﾞｲ,個
720092I064001,ﾊﾞｽﾕﾆｯﾄｱﾀｯﾁﾒﾝﾄ,ﾊﾞｽﾕﾆｯﾄ,本
720092I065001,戸当気密材 中空太(補修)13mm(9)栗･東,ﾄｱﾀﾘﾁｭｳｸｳ,ｍ
720092I066001,戸当気密材 中空太(補修用)7mm,ﾄｱﾀﾘ,ｍ
720092I067001,戸当気密材(補修用)8*5(5),ﾄｱﾀﾘ,ｍ
720092I068001,戸当気密材(補修用)9mm(13mm),ﾄｱﾀﾘ,ｍ
720092I069001,戸当気密材(補修用)ｴﾗｽﾄﾏｰ8φ　道内,ﾄｱﾀﾘ,ｍ
720092I069002,戸当気密材(補修用)ｴﾗｽﾄﾏｰ8φ　道外,ﾄｱﾀﾘ,ｍ
720092I070001,20043100戸当り気密材 框用 ひれ式 内,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ
720092I070002,20043100戸当り気密材 框用 ひれ式 外,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ
720121D001001,PY140ﾗﾌｶｯﾄ ﾌﾚｰﾑﾖｳｼﾝﾌﾟﾙ(A10) L24,PY140,個
720121D001002,PY140ﾗﾌｶｯﾄ ﾌﾚｰﾑﾖｳｼﾝﾌﾟﾙ(A10) L37,PY140,個
720121D001003,Y140 ｼﾝﾌﾞﾙ(ﾌﾚｰﾑ用) L=24,,個
720121D001004,ﾗﾌｶｯﾄ ｽﾗｲﾄﾞﾚｰﾙ ﾅﾁｭﾗﾙ L=1000 PY514,ﾗﾌｶｯﾄ ｽﾗｲﾄ,ｍ
720121D001005,ﾗﾌｶｯﾄ ﾛﾘｯﾌﾟ用ｶﾗｰ HE3422 L=32(5000),,個
720121D001006,ﾗﾌｶｯﾄNR型連結環用E5HE3422ｼﾝﾌﾟﾙL=38.5,ﾗﾌ,個
720121D001007,ﾗﾌｶｯﾄNR型連結環用E5HE3422ｼﾝﾌﾟﾙL=45,ﾗﾌ,個
720121D001008,ﾗﾌｶｯﾄ保護ﾊﾟｯｷﾝｸﾞﾚｰ/12mm両面ﾃｰﾌﾟ L220,ﾊﾟｯｷﾝｸﾞﾚｰ,
720121D001009,ﾗﾌｶｯﾄ保護ﾊﾟｯｷﾝｸﾞﾚｰ/12mm両面ﾃｰﾌﾟ L330,ﾊﾟｯｷﾝｸﾞﾚｰl,個
720121D001010,ﾗﾌｶｯﾄ保護ﾊﾟｯｷﾝｸﾞﾚｰ/12mm両面ﾃｰﾌﾟ L89,ﾗﾌｶｯﾄ,個
720152I001001,ADDｻﾎﾟｰﾄ ﾊﾟｲﾌﾟ24 L=44,ADDｻﾎﾟｰﾄ,個
720152I002001,H6溝ﾊﾞｰ PP(ﾅﾁｭﾗﾙ)　受注ﾛｯﾄ 1000m/回,H6,ｍ
720152I002002,H6溝ﾊﾞｰ PP(ﾅﾁｭﾗﾙ)　受注ﾛｯﾄ 3000m/回,H6,ｍ
720152I002003,H6溝ﾊﾞｰ PP(ﾅﾁｭﾗﾙ)　受注ﾛｯﾄ 5000m/回,H6,ｍ
720152I003001,T字ｼﾞｮｲﾅｰC L=2395 道内,Tｼﾞｼﾞｮｲﾅｰ,本
720152I003002,T字ｼﾞｮｲﾅｰ C L=2395 道外,Tｼﾞｼﾞｮｲﾅｰ,本
720152I003003,T字ｼﾞｮｲﾅｰC L=2695 道内,Tｼﾞｼﾞｮｲﾅｰ,本
720152I003004,T字ｼﾞｮｲﾅｰ C L=2695 道外,Tｼﾞｼﾞｮｲﾅｰ,本
720152I004001,ｴｯｼﾞｶﾊﾞｰ(粘着剤付) 黒 最低ﾛｯﾄ480m,ｻﾈｻﾞｲ,ｍ
720152I005001,ｶﾊﾞｰﾌﾟﾚｰﾄ L=2500,ｶﾊﾞｰﾌﾟﾚｰﾄ,本
720152I006001,ｻﾈ材 L=2395 道内,ｻﾈｻﾞｲ,本
720152I006002,ｻﾈ材 L=2395 道外,ｻﾈｻﾞｲ,本
720152I006003,ｻﾈ材 L=2695 道内,ｻﾈｻﾞｲ,本
720152I006004,ｻﾈ材 L=2695 道外,ｻﾈｻﾞｲ,本
720152I007001,ﾒｸﾗ板 L=2500,ﾒｸﾗｲﾀ,本
720152I008001,水切り板 L=2500,ﾐｽﾞｷﾘｲﾀ,本
720152I009001,片目地棒 L=3000,ｶﾀﾒｼﾞ,本
720152I009002,片目地棒 L=3000　道外,ｶﾀﾒｼﾞ,本
720152I010001,面木 L=3200,ﾒﾝｷﾞ,本
720152I010002,面木 L=3200　道外,ﾒﾝｷﾞ,本
720152I011001,両目地棒 L=3000,ﾘｮｳﾒｼﾞ,本
720152I011002,両目地棒 L=3000　道外,ﾘｮｳﾒｼﾞ,本
720165D001001,ｺｰｼｮﾝﾗｲﾅｰ(CL-01)　1000本～,ｺｰｼｮﾝﾗｲﾅｰ(,本
720202I012001,PPｼﾞｮｲﾅｰBH-8 L=1820,BH-8,本
720202I012002,PPｼﾞｮｲﾅｰBH-8(片ﾊｯﾄ) L=1820,BH-8,本
720202I013001,PPｼﾞｮｲﾅｰBH-9 L=1820,BH-9,本
720202I013002,PPｼﾞｮｲﾅｰBH-9(片ﾊｯﾄ) L=1820,BH-9,本
720202I014001,PPｼﾞｮｲﾅｰBH-10 L=1820,BH-10,本
720202I014002,PPｼﾞｮｲﾅｰBH-10(片ﾊｯﾄ) L=1820,BH-10,本
720202I015001,ｽﾉｺ A-1(ﾛ型) L=225,ｽﾉｺ,本
720202I015002,ｽﾉｺ A-1(ﾛ型) L=350,ｽﾉｺ,本
720202I015003,ｽﾉｺ A-2(ｺ型) L=1000,ｽﾉｺ,本
720202I015004,ｽﾉｺA-1,ｽﾉｺ,本
720202I015005,ｽﾉｺA-2,ｽﾉｺ,本
720202I016001,ｽﾍﾟｰｻｰ2*40,ｽﾍﾟｰｻｰ2*40,ｍ
720202I016002,ｽﾍﾟｰｻｰ2mm 40*40,ｽﾍﾟｰｻｰ2mm,個
720202I017001,ｽﾍﾟｰｻｰ5*40,ｽﾍﾟｰｻｰ5*40,ｍ
720202I017002,ｽﾍﾟｰｻｰ5mm 40*40,ｽﾍﾟｰｻｰ5mm,個
720202I018001,鎧張目地材 L=1800,,本
720202I019001,軒天通気見切 16,,本
720202I020001,平張用目地材 L=1820,,本
720202I021001,目地材 B-6(PP) L=2000,ﾒｼﾞｻﾞｲB-6,本
720202I022001,目地材 B-7(PP) L=2000,ﾒｼﾞｻﾞｲB-7,本
720202I022002,目地材 B-7(PP) L=2000(片ﾊｯﾄ),ﾒｼﾞｻﾞｲB-7,本
720202I023001,目地材B-1(PVC) L=2000,ﾒｼﾞｻﾞｲB-1,本
720202I024001,目地材B-3(PVC) L=1820,ﾒｼﾞｻﾞｲB-3,本
720202I025001,目地材B-6(PVC) L=2000,ﾒｼﾞｻﾞｲB-6,本
720202I026001,目地材B-7(PVC) L=2000,ﾒｼﾞｻﾞｲB-7,本
720202I027001,目地材B-8(PVC) L=1820,ﾒｼﾞｻﾞｲB-8,本
720202I027002,目地材B-8(PVC) ﾃｰﾌﾟ無 L=1820,ﾒｼﾞｻﾞｲB-8,本
720212I001001,水切りｺｰﾅｰｶﾞｰﾄﾞ L=90,ﾐｽﾞｷﾘｺｰﾅｰ,本
720212I001002,水切りｺｰﾅｰｶﾞｰﾄﾞ L=160,ﾐｽﾞｷﾘｺｰﾅｰ,本
720212I001003,水切りｺｰﾅｰｶﾞｰﾄﾞ,ﾐｽﾞｷﾘｺｰﾅｰ,ｍ
720221D001001,ｺｰﾅｰｾﾞﾂｴﾝ,ｺｰﾅｰｾﾞﾂｴﾝ,m
720251D001001,2036 H鋼ﾊﾟｯｷﾝ(9mm) L=2000 ｱｲﾎﾞﾘｰW,2036Hｺｳ,本
720251D001002,3446 H鋼中空ﾊﾟｯｷﾝ(19mm) 2000L　LY,,
720251D001003,3646 H鋼ﾊﾟｯｷﾝ(22mm) ﾚﾓﾝｲｴﾛｰ L=2000,,
720251D001004,3646 H鋼ﾊﾟｯｷﾝ(22mm) ｱｲﾎﾞﾘｰW L=2000,ｱｲﾎﾞﾘｰw,
720251D001005,SPC-6565V(ｿﾌﾄ) ﾚﾓﾝｲｴﾛｰ L=1000,,本
720251D001006,2239 H鋼ﾊﾟｯｷﾝ(11mm) L=2000 ﾚﾓﾝｲｴﾛｰ,,本
720251D001007,2946 H鋼ﾊﾟｯｷﾝ(15mm)  L=2000　ﾚﾓﾝｲｴﾛｰ,,本
720251D001008,2239 H鋼ﾊﾟｯｷﾝ(11mm) L=2000 IW,,本
720251D001009,2036 H鋼ﾊﾟｯｷﾝ(9mm) L=2000 ﾚﾓﾝｲｴﾛｰ,2036Hｺｳ,本
720251D001010,1832 H鋼ﾊﾟｯｷﾝ(8mm) L=2000 ﾚﾓﾝｲｴﾛｰ,,本
720251D001011,2946 H鋼ﾊﾟｯｷﾝ(15mm)  L=2000　IW,,本
