表示ｺｰﾄﾞ,新商品ｺｰﾄﾞ案,商品名,商品名索引,単位,製品長さ(mm),ｶｯﾄ長さ(mm),得意先(検索)ｺｰﾄﾞ
1,701012I000102,中小上蓋ﾊﾟｯﾄ(三角ﾊﾟｯｷﾝ) L=284,ﾁｭｳｼｮｳｳﾜﾌﾞ,本,0,0,701012
1,701012I000103,中小上蓋ﾊﾟｯﾄ(三角ﾊﾟｯｷﾝ) L=384,ﾁｭｳｼｮｳｳﾜﾌﾞ,本,0,0,701012
1,701031D000101,KT-4RC(ﾍﾞｰｼﾞｭ)ｼｰﾄ巾150mmxt=2mm,kt-4rc(ﾍﾞｰ,,0,0,701031
1,701031D000201,ﾁｭｰﾌﾞ(HDPE) 1.5x2.5φ 1000mﾛｯﾄ,,,0,0,701031
1,701051D000101,ｻｵﾄﾞｳｺｳｼｰﾄ　L=185x3.0x7.5,ｻｵﾄﾞｳｺｳｼｰﾄ,本,186.5,186.5,701051
1,701071B000101,C-2081901　KB-T-50M,kb-t 50m(5,巻,0,0,701071
1,701071D000201,吊りボルト用化粧カバー BC3-W,ﾂﾘﾎﾞﾙﾄﾖｳｹｼ,個,1000,1015,701071
1,701071D000301,吊りボルト用化粧カバー BC3-K,ﾂﾘﾎﾞﾙﾄﾖｳｹｼ,個,1000,1015,701071
1,701081D000101,C47006310690 ｼｰｽﾙｰﾎｰﾑｹﾞｰﾄ,ｼｰｽﾙｰﾎｰﾑｹﾞ,箱,52000,54000,701081
0,701091D000101,細うどん(杵屋),,,0,0,701091
0,701091D000201,鎌倉ﾊﾟｽﾀ生めん,ｶﾏｸﾗﾊﾟｽﾀﾅﾏ,kg,0,0,701091
1,701091D000301,黄ｽﾊﾟφ2.2（野口商事様分）20kgﾖﾘ,ｷｽﾊﾟﾊﾟ2.2ﾌ,Kg,0,0,701091
0,701091D000302,黄ｽﾊﾟφ2.2 丸形状,,kg,0,0,701091
1,700001D004401,色合わせうどん D-5 □5.0x4.0 非ﾌﾀﾙ酸,ｲﾛｱﾜｾ,kg,0,0,700000
1,700001D004501,和そば3 特注色 □1.8x1.8 非ﾌﾀﾙ酸,ｲﾛｱﾜｾ,kg,0,0,700000
1,701135D000101,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 2mm ｸﾘｱ,,,830,830,701135
1,701135D000201,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 3mm 色つき 50ﾛｯﾄ, 50ﾛｯﾄ,,830,830,701135
1,701135D000301,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 3mm 透明,,,415,415,701135
1,701135D000401,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 4mm 色つき 100ﾛｯﾄ,,,830,830,701135
1,701135D000501,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 4mm 色つき,ｲﾛﾂｷ 50ﾛｯﾄ,,830,830,701135
1,701135D000601,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 4mm 透明,,,415,415,701135
1,701135D000701,ﾈｲﾙｸﾞﾐ ｳｫｰﾀｰﾚｼﾞｽﾀﾝｽ 0.6x45x90,ｳｫｰﾀｰﾚｼﾞｽﾀ,枚,0,0,701135
0,701135D000801,ﾈｲﾙｸﾞﾐ 丸小,ﾈｲﾙｸﾞﾐﾏﾙｼｮ,,0,0,701135
0,701135D000802,ﾈｲﾙｸﾞﾐ 丸大,ﾈｲﾙｸﾞﾐﾏﾙﾀﾞ,,0,0,701135
0,701135D000803,ﾈｲﾙｸﾞﾐ 小,ﾈｲﾙｸﾞﾐｼｮｳ,,0,0,701135
1,701135D000804,ﾈｲﾙｸﾞﾐ 専用JIC 0.6x45x90,,枚,0,0,701135
0,701135D000805,ﾈｲﾙｸﾞﾐ 大,ﾈｲﾙｸﾞﾐﾀﾞｲ,,0,0,701135
0,701135D000806,ﾈｲﾙｸﾞﾐ 中,ﾈｲﾙｸﾞﾐﾁｭｳ,,0,0,701135
0,701135D000901,ﾈｲﾙｸﾞﾐ打抜き加工 ﾁｯﾌﾟｻｲｽﾞ2 12x12,ﾈｲﾙｸﾞﾐｳﾁﾇｷ,枚,0,0,701135
0,701135D000902,ﾈｲﾙｸﾞﾐ打抜き加工 ﾁｯﾌﾟｻｲｽﾞ4 11x10,ﾈｲﾙｸﾞﾐｳﾁﾇｷ,枚,0,0,701135
0,701135D000903,ﾈｲﾙｸﾞﾐ打抜き加工 ﾁｯﾌﾟｻｲｽﾞ6.5 10x8,6.5 108,,0,0,701135
